Company Name,Type,Ex-Date,Record Date,Date Paid/Payable,Particulars
"NX09100W 190601","INTEREST","23 Nov 2016","25 Nov 2016","01 Dec 2016","2.5%"
"NX11100X 210601","INTEREST","23 Nov 2016","25 Nov 2016","01 Dec 2016","2.25%"
"NX15100Z 250601","INTEREST","23 Nov 2016","25 Nov 2016","01 Dec 2016","2.375%"
"N215100F 171001","INTEREST","23 Sep 2016","27 Sep 2016","03 Oct 2016","1.375%"
"N513100T 180401","INTEREST","23 Sep 2016","27 Sep 2016","03 Oct 2016","0.5%"
"N514100H 191001","INTEREST","23 Sep 2016","27 Sep 2016","03 Oct 2016","1.625%"
"N710100Z 170401","INTEREST","23 Sep 2016","27 Sep 2016","03 Oct 2016","2.375%"
"NA12100N 420401","INTEREST","23 Sep 2016","27 Sep 2016","03 Oct 2016","2.75%"
"NA16100H 460301","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","2.75%"
"NY01100F 160901","ENTITL.","24 Aug 2016","26 Aug 2016","01 Sep 2016","REDEMPTION 100%"
"NY01100F 160901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","3.75%"
"NY03100A 180901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","4%"
"NY05100N 200901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","3.25%"
"NY07100X 220901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","3.125%"
"NY09100H 240901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","3%"
"NZ07100S 270301","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","3.5%"
"NZ10100F 300901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","2.875%"
"NZ13100V 330901","INTEREST","24 Aug 2016","26 Aug 2016","01 Sep 2016","3.375%"
"IHH HEALTHCARE BERHAD","DIVIDEND","28 Jun 2016","30 Jun 2016","18 Jul 2016","MYR 0.03 TAX EXEMPT"
"N515100S 200701","INTEREST","23 Jun 2016","27 Jun 2016","01 Jul 2016","2%"
"NX13100H 230701","INTEREST","23 Jun 2016","27 Jun 2016","01 Jul 2016","2.75%"
"NY14100E 290701","INTEREST","23 Jun 2016","27 Jun 2016","01 Jul 2016","2.875%"
"SINARMAS LAND LIMITED","DIVIDEND","17 Jun 2016","21 Jun 2016","30 Jun 2016","SGD 0.0019 ONE-TIER TAX"
"BUND CENTER INVESTMENT LTD","DIVIDEND","13 Jun 2016","15 Jun 2016","24 Jun 2016","SGD 0.01075"
"YUEXIU PROPERTY CO LIMITED","DIVIDEND","10 Jun 2016","14 Jun 2016","07 Jul 2016","HKD 0.019"
"LOW KENG HUAT (SINGAPORE) LTD","DIVIDEND","09 Jun 2016","13 Jun 2016","22 Jun 2016","SGD 0.01 ONE-TIER TAX"
"LOW KENG HUAT (SINGAPORE) LTD","DIVIDEND","09 Jun 2016","13 Jun 2016","22 Jun 2016","SGD 0.03 ONE-TIER TAX"
"SHANGRI-LA ASIA LIMITED","DIVIDEND","03 Jun 2016","07 Jun 2016","16 Jun 2016","HKD 0.05"
"CHINAMOBILE ADR 10","DIVIDEND","31 May 2016","02 Jun 2016","05 Jul 2016","INDICATIVE RATE USD 0.69403"
"PETROCHINA ADR 10","DIVIDEND","27 May 2016","31 May 2016","25 Jul 2016","ESTIMATE USD 0.323734"
"KOH BROTHERS GROUP LIMITED","DIVIDEND","26 May 2016","30 May 2016","16 Jun 2016","SGD 0.003 ONE-TIER TAX"
"KOH BROTHERS GROUP LIMITED","DIVIDEND","26 May 2016","30 May 2016","16 Jun 2016","SGD 0.005 ONE-TIER TAX"
"NX09100W 190601","INTEREST","24 May 2016","26 May 2016","01 Jun 2016","2.5%"
"NX11100X 210601","INTEREST","24 May 2016","26 May 2016","01 Jun 2016","2.25%"
"NX15100Z 250601","INTEREST","24 May 2016","26 May 2016","01 Jun 2016","2.375%"
"TPV TECHNOLOGY LIMITED","DIVIDEND","23 May 2016","25 May 2016","07 Jun 2016","USD 0.00128"
"WORLD PRECISION MACHINERY LTD","DIVIDEND","19 May 2016","23 May 2016","06 Jun 2016","CNY 0.125 ONE-TIER TAX"
"ADV INTEGRATED MFG CORP LTD","DIVIDEND","17 May 2016","19 May 2016","27 May 2016","SGD 0.0115 ONE-TIER TAX"
"MIDAS HLDGS LIMITED","DIVIDEND","17 May 2016","19 May 2016","03 Jun 2016","SGD 0.0025 ONE-TIER TAX"
"HAW PAR CORP LTD","DIVIDEND","16 May 2016","18 May 2016","27 May 2016","SGD 0.15 ONE-TIER TAX"
"HAW PAR CORP LTD","DIVIDEND","16 May 2016","18 May 2016","27 May 2016","SGD 0.14 ONE-TIER TAX"
"KINGSMEN CREATIVES LTD","DIVIDEND","16 May 2016","18 May 2016","31 May 2016","SGD 0.02 ONE-TIER TAX"
"MULTI-CHEM LIMITED","DIVIDEND","16 May 2016","18 May 2016","30 May 2016","SGD 0.022 ONE-TIER TAX"
"PAN ASIAN HOLDINGS LIMITED","DIVIDEND","16 May 2016","18 May 2016","26 May 2016","SGD 0.005 ONE-TIER TAX"
"PENGUIN INTERNATIONAL LIMITED","DIVIDEND","16 May 2016","18 May 2016","27 May 2016","SGD 0.0025 ONE-TIER TAX"
"ASIAPHOS LIMITED","DIVIDEND","13 May 2016","17 May 2016","31 May 2016","SGD 0.001 ONE-TIER TAX"
